X÷·,Y÷·,Z÷·
7288.360,5567.658,0.55
7271.991,5556.166,0.55
7255.622,5544.674,0.55
7239.252,5533.184,0.55
7222.881,5521.695,0.55
7206.510,5510.207,0.55
7190.141,5498.715,0.55
7173.772,5487.223,0.55
7157.404,5475.730,0.55
7141.043,5464.227,0.55
7124.682,5452.724,0.55
7108.330,5441.209,0.55
7091.983,5429.687,0.55
7075.641,5418.156,0.55
7059.316,5406.602,0.55
7042.994,5395.043,0.55
7026.703,5383.442,0.55
7010.421,5371.828,0.55
6994.181,5360.154,0.55
6977.974,5348.436,0.55
6961.805,5336.664,0.55
6945.704,5324.800,0.55
6929.679,5312.833,0.55
6913.744,5300.748,0.55
6897.925,5288.510,0.55
6882.185,5276.172,0.55
6866.475,5263.793,0.55
6850.858,5251.299,0.55
6835.485,5238.507,0.55
6820.461,5225.308,0.55
6805.871,5211.630,0.55
6791.763,5197.456,0.55
6778.053,5182.896,0.55
6764.636,5168.065,0.55
6751.489,5152.993,0.55
6738.522,5137.767,0.55
6725.692,5122.424,0.55
6712.978,5106.985,0.55
6700.400,5091.436,0.55
6687.977,5075.762,0.55
6675.737,5059.945,0.55
6663.731,5043.950,0.55
6651.992,5027.758,0.55
6640.528,5011.371,0.55
6629.351,4994.786,0.55
6618.456,4978.014,0.55
6607.864,4961.049,0.55
6597.521,4943.932,0.55
6587.405,4926.679,0.55
6577.495,4909.307,0.55
6567.772,4891.830,0.55
6558.227,4874.255,0.55
6548.870,4856.579,0.55
6539.712,4838.800,0.55
6530.765,4820.913,0.55
6522.045,4802.915,0.55
6513.570,4784.800,0.55
6505.361,4766.562,0.55
6497.444,4748.196,0.55
6489.841,4729.697,0.55
6482.561,4711.070,0.55
6475.555,4692.337,0.55
6468.798,4673.513,0.55
6462.267,4654.610,0.55
6455.935,4635.639,0.55
6449.774,4616.612,0.55
6443.758,4597.538,0.55
6437.861,4578.428,0.55
6432.071,4559.284,0.55
6426.389,4540.108,0.55
6420.819,4520.900,0.55
6415.370,4501.657,0.55
6410.048,4482.378,0.55
6404.863,4463.061,0.55
6399.828,4443.706,0.55
6394.958,4424.308,0.55
6390.267,4404.866,0.55
6385.765,4385.379,0.55
6381.458,4365.849,0.55
6377.349,4346.275,0.55
6373.437,4326.662,0.55
6369.717,4307.011,0.55
6366.181,4287.326,0.55
6362.821,4267.611,0.55
6359.635,4247.866,0.55
6356.635,4228.093,0.55
6353.828,4208.291,0.55
6351.225,4188.462,0.55
6348.831,4168.606,0.55
6346.655,4148.725,0.55
6344.700,4128.821,0.55
6342.970,4108.896,0.55
6341.459,4088.954,0.55
6340.155,4068.996,0.55
6339.046,4049.027,0.55
6338.119,4029.049,0.55
6337.363,4009.063,0.55
6336.788,3989.072,0.55
6336.368,3969.076,0.55
6336.087,3949.078,0.55
6335.936,3929.079,0.55
6335.904,3909.079,0.55
6335.983,3889.079,0.55
6336.179,3869.080,0.55
6336.486,3849.083,0.55
6336.888,3829.087,0.55
6337.383,3809.093,0.55
6337.974,3789.102,0.55
6338.664,3769.114,0.55
6339.459,3749.130,0.55
6340.372,3729.150,0.55
6341.423,3709.178,0.55
6342.632,3689.215,0.55
6344.021,3669.263,0.55
6345.605,3649.326,0.55
6347.389,3629.406,0.55
6349.374,3609.505,0.55
6351.553,3589.624,0.55
6353.906,3569.763,0.55
6356.403,3549.919,0.55
6359.016,3530.091,0.55
6361.721,3510.275,0.55
6364.496,3490.468,0.55
6367.321,3470.668,0.55
6370.178,3450.874,0.55
6373.045,3431.080,0.55
6375.914,3411.287,0.55
6378.804,3391.497,0.55
6381.749,3371.715,0.55
6384.778,3351.946,0.55
6387.926,3332.195,0.55
6391.222,3312.469,0.55
6394.698,3292.773,0.55
6398.384,3273.116,0.55
6402.301,3253.504,0.55
6406.447,3233.939,0.55
6410.796,3214.418,0.55
6415.319,3194.936,0.55
6419.985,3175.488,0.55
6424.766,3156.068,0.55
6429.636,3136.670,0.55
6434.574,3117.289,0.55
6439.547,3097.917,0.55
6444.539,3078.550,0.55
6449.544,3059.186,0.55
6454.563,3039.826,0.55
6459.601,3020.472,0.55
6464.664,3001.123,0.55
6469.749,2981.780,0.55
6474.858,2962.444,0.55
6479.996,2943.115,0.55
6485.176,2923.797,0.55
6490.391,2904.489,0.55
6495.643,2885.191,0.55
6500.936,2865.904,0.55
6506.298,2846.636,0.55
6511.721,2827.386,0.55
6517.210,2808.154,0.55
6522.772,2788.943,0.55
6528.422,2769.758,0.55
6534.187,2750.607,0.55
6540.055,2731.487,0.55
6546.034,2712.401,0.55
6552.132,2693.354,0.55
6558.357,2674.348,0.55
6564.742,2655.394,0.55
6571.251,2636.483,0.55
6577.878,2617.613,0.55
6584.620,2598.784,0.55
6591.473,2579.994,0.55
6598.430,2561.244,0.55
6605.509,2542.538,0.55
6612.676,2523.867,0.55
6619.924,2505.226,0.55
6627.243,2486.613,0.55
6634.618,2468.023,0.55
6642.042,2449.452,0.55
6649.497,2430.893,0.55
6656.965,2412.340,0.55
6664.433,2393.786,0.55
6671.886,2375.227,0.55
6679.309,2356.656,0.55
6686.684,2338.065,0.55
6693.988,2319.446,0.55
